escs,repetidor,estatus_migratorio,genero,en_riesgo,mca_1,mca_2
-1.8373,Never repeated,Native,Female,Sin riesgo,-0.09115674723158708,-0.33689262987453295
1.2949,Never repeated,Native,Male,En riesgo,-0.08517059244734833,0.20707299461123965
0.4952,Never repeated,Native,Male,Sin riesgo,-0.17802488085736956,0.11841299197857523
-1.2241,Never repeated,Native,Male,Sin riesgo,-0.11985408444881125,-0.13323527191081627
-1.3793,Never repeated,Native,Male,Sin riesgo,-0.10783204465288129,-0.03333359171475686
0.6326,Repeated at least once,Native,Female,Sin riesgo,-0.04883689694279384,-0.07580705930602626
0.3727,Never repeated,Native,Male,Sin riesgo,-0.20237300117642873,0.4025967768276401
0.1431,Never repeated,Native,Male,Sin riesgo,-0.16459700824496934,0.24384681546625805
-2.0507,Repeated at least once,Native,Female,En riesgo,0.3111963465448968,-0.7761907991239312
1.1215,Never repeated,Native,Female,Sin riesgo,-0.17234251264113445,0.23422850800310513
-0.7285,Never repeated,Second-Generation,Female,En riesgo,-0.10548119519530669,-0.08557862414223136
-2.3598,Repeated at least once,First-Generation,Female,Sin riesgo,0.34005704398116743,-0.9236278485558197
-0.1664,Never repeated,Native,Female,Sin riesgo,-0.19886340330832808,0.25115363077611874
1.2116,Never repeated,Native,Male,Sin riesgo,0.8860069459390857,0.5583641338053615
0.3232,Never repeated,No Response,Male,Sin riesgo,0.20549280937472705,0.27322991652687856
0.8276,Never repeated,Native,Female,En riesgo,-0.11530570770899888,0.3508520858662829
0.8355,Never repeated,Native,Female,Sin riesgo,-0.21091555838569567,0.2770920038280651
0.9597,Never repeated,Native,Female,Sin riesgo,-0.1977556578714923,0.23988197616742718
1.073,Never repeated,Native,Female,Sin riesgo,-0.21042104135736234,0.477590762159551
0.0419,Never repeated,Native,Female,Sin riesgo,-0.1710396346770233,0.13396762205193058
0.1214,Never repeated,Native,Female,Sin riesgo,-0.2047491918626704,0.23014138583940336
0.0149,Never repeated,Native,Male,En riesgo,-0.10003860371477812,0.10043949291099931
0.1276,Never repeated,Native,Male,Sin riesgo,-0.1869611389879798,0.40015485506971965
-0.149,Never repeated,Native,Male,Sin riesgo,-0.1267245756446455,-0.0175296190697026
-1.1724,Never repeated,Native,Female,Sin riesgo,-0.10526173983029985,-0.25843428411541813
0.6481,Never repeated,Native,Male,Sin riesgo,-0.1936824669846969,0.24887728333903028
1.1635,Never repeated,Native,Female,Sin riesgo,-0.19253940869586594,0.4906820556219175
-0.3962,Never repeated,Native,Female,Sin riesgo,-0.18796505660473697,0.19604915654876545
-1.1811,Never repeated,Native,Male,Sin riesgo,-0.10873528356148458,-0.2212488931518251
0.7271,Never repeated,Native,Female,Sin riesgo,-0.14002538477215853,0.004690284069219386
0.2804,Never repeated,Native,Female,Sin riesgo,-0.09696732691048238,0.24889968430091167
0.0086,Repeated at least once,Native,Female,En riesgo,-0.0460880307641192,-0.16034027570618578
1.4189,Never repeated,Native,Male,Sin riesgo,-0.18402013147940663,0.5167263454255543
-0.4244,Never repeated,Native,Male,En riesgo,-0.13661269736687895,0.043756700829511753
0.2023,Never repeated,Native,Female,Sin riesgo,-0.17230519331910218,0.10236528209216786
0.777,Never repeated,Native,Male,Sin riesgo,-0.006961879303404566,-0.12000048834396962
-0.972,Repeated at least once,Native,Male,En riesgo,1.5875705574520058,-0.3564087312583108
-1.1759,Never repeated,First-Generation,Male,Sin riesgo,-0.01548623715891867,-0.506555170076915
0.2977,Never repeated,Native,Male,Sin riesgo,-0.19069378269831672,0.33048899246169156
-1.5311,Never repeated,Native,Male,Sin riesgo,-0.07923007793176086,-0.34989704508146996
-0.4539,Never repeated,Second-Generation,Female,Sin riesgo,-0.11169117505352631,-0.18785827020939738
0.5454,Never repeated,First-Generation,Female,Sin riesgo,-0.17653563264800637,0.2124280285762111
0.8248,Never repeated,Native,Male,Sin riesgo,-0.1841360060784111,0.2136821256886983
-0.6747,Repeated at least once,First-Generation,Female,Sin riesgo,-0.0021213017366210362,-0.30538823769082946
0.9838,Never repeated,Native,Female,Sin riesgo,-0.23487208755787575,0.46637301406828646
-0.4917,Never repeated,Native,Female,Sin riesgo,-0.21385648116293887,0.28051643806099574
-0.1366,Never repeated,Native,Female,En riesgo,0.13849569423008032,-0.018887530653404195
1.2942,Never repeated,Native,Male,Sin riesgo,-0.18875491014933748,0.46871198333973385
1.0004,Never repeated,Native,Female,Sin riesgo,-0.20527685311102706,0.5085023955078649
1.0501,Never repeated,Native,Male,Sin riesgo,-0.1832507817845192,0.4199935230830598
0.6166,Never repeated,Native,Male,Sin riesgo,-0.1391097702195049,0.04607188033341914
-1.4884,Repeated at least once,Native,Female,Sin riesgo,0.04756550626123162,-0.7004402107562758
-0.7054,Never repeated,Native,Male,Sin riesgo,-0.12636137683578852,-0.108638596429806
0.8028,Never repeated,Native,Female,Sin riesgo,-0.16182051934280875,-0.0037598313618254094
0.5558,Never repeated,Native,Female,Sin riesgo,-0.19735159253180024,0.21206856232780846
-0.3017,Repeated at least once,Native,Male,En riesgo,0.0003171259396220679,-0.322633748295308
-0.8237,Never repeated,No Response,Male,Sin riesgo,0.0596140233019404,0.14178866009197486
-1.5458,Repeated at least once,First-Generation,Male,En riesgo,0.6769038506749787,-0.7793885472509167
-0.0865,Never repeated,Native,Male,Sin riesgo,0.12037726498864457,-0.3848394963506185
-1.7527,Never repeated,Native,Female,Sin riesgo,-0.0691800822967678,-0.4444417184344453
-0.1852,Never repeated,Native,Male,Sin riesgo,-0.14724435415482692,-0.04584198351461514
1.4728,Never repeated,No Response,Male,En riesgo,0.06932843658580187,0.2598256075659702
-1.6847,Never repeated,Native,Male,Sin riesgo,-0.08499732485306569,-0.24625457580358842
1.6157,Never repeated,Native,Male,Sin riesgo,-0.17645056417894806,0.5231939437496785
0.5416,Never repeated,First-Generation,Female,Sin riesgo,0.3662677874324364,-0.02680005570841928
-0.0905,Never repeated,Native,Female,Sin riesgo,-0.12572247395857794,-0.13143086894137643
-0.0763,Never repeated,First-Generation,Male,Sin riesgo,-0.15164294476364223,0.2944918388489888
-0.1251,Never repeated,Native,Female,En riesgo,-0.0036436301020481656,-0.2301226883760129
1.2031,Never repeated,Native,Male,Sin riesgo,-0.1595748796077011,0.39089435706306086
0.8371,Never repeated,Native,Female,Sin riesgo,-0.20342436114168488,0.2676491564654106
1.112,Never repeated,Native,Female,Sin riesgo,-0.1827904140519299,0.41308581393419364
-0.0655,Never repeated,Native,Male,Sin riesgo,-0.07789635938473101,-0.3299051781217726
1.5885,Never repeated,Native,Female,Sin riesgo,-0.16899642602147913,0.274577499058975
0.1313,Never repeated,Native,Female,Sin riesgo,-0.20517334709969864,0.17954304323979348
-0.7433,Repeated at least once,Native,Male,En riesgo,0.0029555999830703917,-0.34616491685250766
1.0241,Never repeated,Native,Female,Sin riesgo,-0.2045854545977551,0.44558260141109085
-1.0789,Never repeated,Native,Female,Sin riesgo,-0.10408176849225444,-0.197890361815114
-0.1457,Never repeated,Native,Female,En riesgo,-0.2287741374233197,0.42114135189628527
0.1458,Never repeated,Native,Female,Sin riesgo,-0.20103207801373935,0.29406540794776875
1.0904,Never repeated,Second-Generation,Female,Sin riesgo,-0.07869383495875155,-0.16332407483068437
1.2265,Never repeated,Native,Male,Sin riesgo,-0.1669181523775219,0.5071024211171331
1.341,Never repeated,Native,Male,Sin riesgo,-0.17963910504882763,0.45948977152446924
-0.4334,Never repeated,Native,Male,Sin riesgo,-0.11037540781423873,-0.1263286217588561
1.3179,Never repeated,Native,Male,Sin riesgo,-0.1793552978295771,0.5030626467222795
0.6551,Never repeated,Native,Male,Sin riesgo,-0.16517518540184528,0.31106689597722337
99.0,No Response,No Response,Male,Sin riesgo,6.377021677507126,1.6369081276418616
0.7744,Never repeated,Native,Male,Sin riesgo,0.04515523076138397,0.4331387760686378
-1.2521,Never repeated,Native,Female,Sin riesgo,-0.105773496041989,-0.30468794339612265
0.5169,Never repeated,Native,Female,Sin riesgo,-0.23306092250552757,0.47086764927905894
1.6702,Never repeated,Native,Male,Sin riesgo,-0.13906201218358027,0.29569538754412406
0.5995,Never repeated,Native,Male,Sin riesgo,-0.18704520416751041,0.254572876720233
-1.1775,Never repeated,Native,Male,En riesgo,0.6523325947122767,-0.37452471691303624
0.3834,Never repeated,Native,Male,En riesgo,-0.18633073176807674,0.23021449025787383
-2.3325,Never repeated,Native,Female,Sin riesgo,-0.02112789921700998,-0.5507554679692387
-0.1595,Never repeated,Native,Male,Sin riesgo,-0.1674851480784438,0.17857068798790787
-0.0905,Repeated at least once,Native,Female,En riesgo,0.05573126223509576,-0.608571267714682
-0.9427,Never repeated,Native,Female,Sin riesgo,-0.14699336198723226,-0.04846048861299047
-0.2031,Never repeated,Native,Male,En riesgo,0.08550308766850899,0.25648475561697526
-0.5075,Never repeated,Native,Male,Sin riesgo,-0.14874235320009227,0.03163790113353824
0.033,Never repeated,Native,Male,Sin riesgo,-0.21610983640829434,0.39851390421442123
