Curso de ingreso;Comunidad autónoma;Sexo;Años desde el ingreso;Situación educativa;Total
2018-2019;Canarias;Hombres;5º año;TOTAL;100,0
2018-2019;Canarias;Hombres;5º año;Terminan años anteriores;54,7
2018-2019;Canarias;Hombres;5º año;Matriculado mismo ciclo;1,4
2018-2019;Canarias;Hombres;5º año;Matriculados otro ciclo;3,4
2018-2019;Canarias;Hombres;5º año;Bachillerato;1,0
2018-2019;Canarias;Hombres;5º año;Otras Enseñanzas;2,1
2018-2019;Canarias;Hombres;5º año;Sin Matricula;37,4
2018-2019;Canarias;Mujeres;2º año;TOTAL;100,0
2018-2019;Canarias;Mujeres;2º año;Terminan años anteriores;.
2018-2019;Canarias;Mujeres;2º año;Matriculado mismo ciclo;70,2
2018-2019;Canarias;Mujeres;2º año;Matriculados otro ciclo;3,8
2018-2019;Canarias;Mujeres;2º año;Bachillerato;2,0
2018-2019;Canarias;Mujeres;2º año;Otras Enseñanzas;1,8
2018-2019;Canarias;Mujeres;2º año;Sin Matricula;22,1
2018-2019;Canarias;Mujeres;3er año;TOTAL;100,0
2018-2019;Canarias;Mujeres;3er año;Terminan años anteriores;48,7
2018-2019;Canarias;Mujeres;3er año;Matriculado mismo ciclo;15,4
2018-2019;Canarias;Mujeres;3er año;Matriculados otro ciclo;5,2
2018-2019;Canarias;Mujeres;3er año;Bachillerato;2,0
2018-2019;Canarias;Mujeres;3er año;Otras Enseñanzas;1,9
2018-2019;Canarias;Mujeres;3er año;Sin Matricula;26,8
2018-2019;Canarias;Mujeres;4º año;TOTAL;100,0
2018-2019;Canarias;Mujeres;4º año;Terminan años anteriores;60,5
2018-2019;Canarias;Mujeres;4º año;Matriculado mismo ciclo;3,4
2018-2019;Canarias;Mujeres;4º año;Matriculados otro ciclo;4,6
2018-2019;Canarias;Mujeres;4º año;Bachillerato;1,6
2018-2019;Canarias;Mujeres;4º año;Otras Enseñanzas;2,4
2018-2019;Canarias;Mujeres;4º año;Sin Matricula;27,5
2018-2019;Canarias;Mujeres;5º año;TOTAL;100,0
2018-2019;Canarias;Mujeres;5º año;Terminan años anteriores;63,6
2018-2019;Canarias;Mujeres;5º año;Matriculado mismo ciclo;1,4
2018-2019;Canarias;Mujeres;5º año;Matriculados otro ciclo;2,7
2018-2019;Canarias;Mujeres;5º año;Bachillerato;0,7
2018-2019;Canarias;Mujeres;5º año;Otras Enseñanzas;1,9
2018-2019;Canarias;Mujeres;5º año;Sin Matricula;29,7
2018-2019;Cantabria;AMBOS SEXOS;2º año;TOTAL;100,0
2018-2019;Cantabria;AMBOS SEXOS;2º año;Terminan años anteriores;.
2018-2019;Cantabria;AMBOS SEXOS;2º año;Matriculado mismo ciclo;72,5
2018-2019;Cantabria;AMBOS SEXOS;2º año;Matriculados otro ciclo;6,9
2018-2019;Cantabria;AMBOS SEXOS;2º año;Bachillerato;1,2
2018-2019;Cantabria;AMBOS SEXOS;2º año;Otras Enseñanzas;1,6
2018-2019;Cantabria;AMBOS SEXOS;2º año;Sin Matricula;17,8
2018-2019;Cantabria;AMBOS SEXOS;3er año;TOTAL;100,0
2018-2019;Cantabria;AMBOS SEXOS;3er año;Terminan años anteriores;39,1
2018-2019;Cantabria;AMBOS SEXOS;3er año;Matriculado mismo ciclo;27,7
2018-2019;Cantabria;AMBOS SEXOS;3er año;Matriculados otro ciclo;7,7
2018-2019;Cantabria;AMBOS SEXOS;3er año;Bachillerato;1,0
2018-2019;Cantabria;AMBOS SEXOS;3er año;Otras Enseñanzas;1,7
2018-2019;Cantabria;AMBOS SEXOS;3er año;Sin Matricula;22,7
2018-2019;Cantabria;AMBOS SEXOS;4º año;TOTAL;100,0
2018-2019;Cantabria;AMBOS SEXOS;4º año;Terminan años anteriores;60,4
2018-2019;Cantabria;AMBOS SEXOS;4º año;Matriculado mismo ciclo;6,2
2018-2019;Cantabria;AMBOS SEXOS;4º año;Matriculados otro ciclo;5,7
2018-2019;Cantabria;AMBOS SEXOS;4º año;Bachillerato;0,5
2018-2019;Cantabria;AMBOS SEXOS;4º año;Otras Enseñanzas;1,7
2018-2019;Cantabria;AMBOS SEXOS;4º año;Sin Matricula;25,6
2018-2019;Cantabria;AMBOS SEXOS;5º año;TOTAL;100,0
2018-2019;Cantabria;AMBOS SEXOS;5º año;Terminan años anteriores;66,1
2018-2019;Cantabria;AMBOS SEXOS;5º año;Matriculado mismo ciclo;2,2
2018-2019;Cantabria;AMBOS SEXOS;5º año;Matriculados otro ciclo;3,8
2018-2019;Cantabria;AMBOS SEXOS;5º año;Bachillerato;0,4
2018-2019;Cantabria;AMBOS SEXOS;5º año;Otras Enseñanzas;1,4
2018-2019;Cantabria;AMBOS SEXOS;5º año;Sin Matricula;26,2
2018-2019;Cantabria;Hombres;2º año;TOTAL;100,0
2018-2019;Cantabria;Hombres;2º año;Terminan años anteriores;.
2018-2019;Cantabria;Hombres;2º año;Matriculado mismo ciclo;68,1
2018-2019;Cantabria;Hombres;2º año;Matriculados otro ciclo;8,9
2018-2019;Cantabria;Hombres;2º año;Bachillerato;0,9
2018-2019;Cantabria;Hombres;2º año;Otras Enseñanzas;1,6
2018-2019;Cantabria;Hombres;2º año;Sin Matricula;20,6
2018-2019;Cantabria;Hombres;3er año;TOTAL;100,0
2018-2019;Cantabria;Hombres;3er año;Terminan años anteriores;30,8
2018-2019;Cantabria;Hombres;3er año;Matriculado mismo ciclo;30,0
2018-2019;Cantabria;Hombres;3er año;Matriculados otro ciclo;9,3
2018-2019;Cantabria;Hombres;3er año;Bachillerato;1,0
2018-2019;Cantabria;Hombres;3er año;Otras Enseñanzas;1,5
2018-2019;Cantabria;Hombres;3er año;Sin Matricula;27,5
2018-2019;Cantabria;Hombres;4º año;TOTAL;100,0
2018-2019;Cantabria;Hombres;4º año;Terminan años anteriores;52,6
2018-2019;Cantabria;Hombres;4º año;Matriculado mismo ciclo;7,8
2018-2019;Cantabria;Hombres;4º año;Matriculados otro ciclo;7,0
2018-2019;Cantabria;Hombres;4º año;Bachillerato;0,5
2018-2019;Cantabria;Hombres;4º año;Otras Enseñanzas;1,3
2018-2019;Cantabria;Hombres;4º año;Sin Matricula;30,8
2018-2019;Cantabria;Hombres;5º año;TOTAL;100,0
2018-2019;Cantabria;Hombres;5º año;Terminan años anteriores;59,5
2018-2019;Cantabria;Hombres;5º año;Matriculado mismo ciclo;3,3
2018-2019;Cantabria;Hombres;5º año;Matriculados otro ciclo;4,4
2018-2019;Cantabria;Hombres;5º año;Bachillerato;0,4
2018-2019;Cantabria;Hombres;5º año;Otras Enseñanzas;1,1
2018-2019;Cantabria;Hombres;5º año;Sin Matricula;31,2
2018-2019;Cantabria;Mujeres;2º año;TOTAL;100,0
2018-2019;Cantabria;Mujeres;2º año;Terminan años anteriores;.
2018-2019;Cantabria;Mujeres;2º año;Matriculado mismo ciclo;77,9
2018-2019;Cantabria;Mujeres;2º año;Matriculados otro ciclo;4,5
2018-2019;Cantabria;Mujeres;2º año;Bachillerato;1,4
2018-2019;Cantabria;Mujeres;2º año;Otras Enseñanzas;1,7
2018-2019;Cantabria;Mujeres;2º año;Sin Matricula;14,5
2018-2019;Cantabria;Mujeres;3er año;TOTAL;100,0
2018-2019;Cantabria;Mujeres;3er año;Terminan años anteriores;49,5
2018-2019;Cantabria;Mujeres;3er año;Matriculado mismo ciclo;24,9
2018-2019;Cantabria;Mujeres;3er año;Matriculados otro ciclo;5,7
2018-2019;Cantabria;Mujeres;3er año;Bachillerato;1,0
2018-2019;Cantabria;Mujeres;3er año;Otras Enseñanzas;2,1
2018-2019;Cantabria;Mujeres;3er año;Sin Matricula;16,8
2018-2019;Cantabria;Mujeres;4º año;TOTAL;100,0
2018-2019;Cantabria;Mujeres;4º año;Terminan años anteriores;70,0
2018-2019;Cantabria;Mujeres;4º año;Matriculado mismo ciclo;4,1
2018-2019;Cantabria;Mujeres;4º año;Matriculados otro ciclo;4,0
2018-2019;Cantabria;Mujeres;4º año;Bachillerato;0,4
2018-2019;Cantabria;Mujeres;4º año;Otras Enseñanzas;2,2
2018-2019;Cantabria;Mujeres;4º año;Sin Matricula;19,3
2018-2019;Cantabria;Mujeres;5º año;TOTAL;100,0
2018-2019;Cantabria;Mujeres;5º año;Terminan años anteriores;74,3
2018-2019;Cantabria;Mujeres;5º año;Matriculado mismo ciclo;0,8
2018-2019;Cantabria;Mujeres;5º año;Matriculados otro ciclo;3,0
2018-2019;Cantabria;Mujeres;5º año;Bachillerato;0,4
2018-2019;Cantabria;Mujeres;5º año;Otras Enseñanzas;1,7
2018-2019;Cantabria;Mujeres;5º año;Sin Matricula;19,9
2018-2019;Castilla y León;AMBOS SEXOS;2º año;TOTAL;100,0
2018-2019;Castilla y León;AMBOS SEXOS;2º año;Terminan años anteriores;.
2018-2019;Castilla y León;AMBOS SEXOS;2º año;Matriculado mismo ciclo;70,1
2018-2019;Castilla y León;AMBOS SEXOS;2º año;Matriculados otro ciclo;8,1
2018-2019;Castilla y León;AMBOS SEXOS;2º año;Bachillerato;1,9
2018-2019;Castilla y León;AMBOS SEXOS;2º año;Otras Enseñanzas;1,8
2018-2019;Castilla y León;AMBOS SEXOS;2º año;Sin Matricula;18,1
2018-2019;Castilla y León;AMBOS SEXOS;3er año;TOTAL;100,0
2018-2019;Castilla y León;AMBOS SEXOS;3er año;Terminan años anteriores;35,5
2018-2019;Castilla y León;AMBOS SEXOS;3er año;Matriculado mismo ciclo;27,0
2018-2019;Castilla y León;AMBOS SEXOS;3er año;Matriculados otro ciclo;8,6
2018-2019;Castilla y León;AMBOS SEXOS;3er año;Bachillerato;1,3
2018-2019;Castilla y León;AMBOS SEXOS;3er año;Otras Enseñanzas;3,3
2018-2019;Castilla y León;AMBOS SEXOS;3er año;Sin Matricula;24,3
2018-2019;Castilla y León;AMBOS SEXOS;4º año;TOTAL;100,0
2018-2019;Castilla y León;AMBOS SEXOS;4º año;Terminan años anteriores;55,3
2018-2019;Castilla y León;AMBOS SEXOS;4º año;Matriculado mismo ciclo;7,1
2018-2019;Castilla y León;AMBOS SEXOS;4º año;Matriculados otro ciclo;5,9
2018-2019;Castilla y León;AMBOS SEXOS;4º año;Bachillerato;0,8
2018-2019;Castilla y León;AMBOS SEXOS;4º año;Otras Enseñanzas;3,5
2018-2019;Castilla y León;AMBOS SEXOS;4º año;Sin Matricula;27,4
2018-2019;Castilla y León;AMBOS SEXOS;5º año;TOTAL;100,0
2018-2019;Castilla y León;AMBOS SEXOS;5º año;Terminan años anteriores;61,7
2018-2019;Castilla y León;AMBOS SEXOS;5º año;Matriculado mismo ciclo;1,8
2018-2019;Castilla y León;AMBOS SEXOS;5º año;Matriculados otro ciclo;3,8
2018-2019;Castilla y León;AMBOS SEXOS;5º año;Bachillerato;0,6
2018-2019;Castilla y León;AMBOS SEXOS;5º año;Otras Enseñanzas;3,0
2018-2019;Castilla y León;AMBOS SEXOS;5º año;Sin Matricula;29,1
2018-2019;Castilla y León;Hombres;2º año;TOTAL;100,0
2018-2019;Castilla y León;Hombres;2º año;Terminan años anteriores;.
2018-2019;Castilla y León;Hombres;2º año;Matriculado mismo ciclo;67,8
2018-2019;Castilla y León;Hombres;2º año;Matriculados otro ciclo;10,0
2018-2019;Castilla y León;Hombres;2º año;Bachillerato;2,0
2018-2019;Castilla y León;Hombres;2º año;Otras Enseñanzas;1,7
2018-2019;Castilla y León;Hombres;2º año;Sin Matricula;18,4
2018-2019;Castilla y León;Hombres;3er año;TOTAL;100,0
2018-2019;Castilla y León;Hombres;3er año;Terminan años anteriores;32,1
2018-2019;Castilla y León;Hombres;3er año;Matriculado mismo ciclo;28,2
2018-2019;Castilla y León;Hombres;3er año;Matriculados otro ciclo;9,8
2018-2019;Castilla y León;Hombres;3er año;Bachillerato;1,3
2018-2019;Castilla y León;Hombres;3er año;Otras Enseñanzas;3,2
2018-2019;Castilla y León;Hombres;3er año;Sin Matricula;25,5
2018-2019;Castilla y León;Hombres;4º año;TOTAL;100,0
2018-2019;Castilla y León;Hombres;4º año;Terminan años anteriores;52,8
2018-2019;Castilla y León;Hombres;4º año;Matriculado mismo ciclo;7,4
2018-2019;Castilla y León;Hombres;4º año;Matriculados otro ciclo;6,9
2018-2019;Castilla y León;Hombres;4º año;Bachillerato;0,8
2018-2019;Castilla y León;Hombres;4º año;Otras Enseñanzas;3,6
2018-2019;Castilla y León;Hombres;4º año;Sin Matricula;28,6
2018-2019;Castilla y León;Hombres;5º año;TOTAL;100,0
2018-2019;Castilla y León;Hombres;5º año;Terminan años anteriores;59,5
2018-2019;Castilla y León;Hombres;5º año;Matriculado mismo ciclo;1,9
2018-2019;Castilla y León;Hombres;5º año;Matriculados otro ciclo;4,6
2018-2019;Castilla y León;Hombres;5º año;Bachillerato;0,6
2018-2019;Castilla y León;Hombres;5º año;Otras Enseñanzas;3,2
2018-2019;Castilla y León;Hombres;5º año;Sin Matricula;30,1
2018-2019;Castilla y León;Mujeres;2º año;TOTAL;100,0
2018-2019;Castilla y León;Mujeres;2º año;Terminan años anteriores;.
2018-2019;Castilla y León;Mujeres;2º año;Matriculado mismo ciclo;73,3
2018-2019;Castilla y León;Mujeres;2º año;Matriculados otro ciclo;5,4
2018-2019;Castilla y León;Mujeres;2º año;Bachillerato;1,8
2018-2019;Castilla y León;Mujeres;2º año;Otras Enseñanzas;1,8
2018-2019;Castilla y León;Mujeres;2º año;Sin Matricula;17,7
2018-2019;Castilla y León;Mujeres;3er año;TOTAL;100,0
2018-2019;Castilla y León;Mujeres;3er año;Terminan años anteriores;40,3
2018-2019;Castilla y León;Mujeres;3er año;Matriculado mismo ciclo;25,3
2018-2019;Castilla y León;Mujeres;3er año;Matriculados otro ciclo;6,9
2018-2019;Castilla y León;Mujeres;3er año;Bachillerato;1,5
2018-2019;Castilla y León;Mujeres;3er año;Otras Enseñanzas;3,5
2018-2019;Castilla y León;Mujeres;3er año;Sin Matricula;22,5
2018-2019;Castilla y León;Mujeres;4º año;TOTAL;100,0
2018-2019;Castilla y León;Mujeres;4º año;Terminan años anteriores;58,8
2018-2019;Castilla y León;Mujeres;4º año;Matriculado mismo ciclo;6,7
2018-2019;Castilla y León;Mujeres;4º año;Matriculados otro ciclo;4,6
2018-2019;Castilla y León;Mujeres;4º año;Bachillerato;0,8
2018-2019;Castilla y León;Mujeres;4º año;Otras Enseñanzas;3,3
2018-2019;Castilla y León;Mujeres;4º año;Sin Matricula;25,8
2018-2019;Castilla y León;Mujeres;5º año;TOTAL;100,0
2018-2019;Castilla y León;Mujeres;5º año;Terminan años anteriores;64,7
2018-2019;Castilla y León;Mujeres;5º año;Matriculado mismo ciclo;1,6
2018-2019;Castilla y León;Mujeres;5º año;Matriculados otro ciclo;2,7
2018-2019;Castilla y León;Mujeres;5º año;Bachillerato;0,6
2018-2019;Castilla y León;Mujeres;5º año;Otras Enseñanzas;2,7
2018-2019;Castilla y León;Mujeres;5º año;Sin Matricula;27,6
2018-2019;Castilla-La Mancha;AMBOS SEXOS;2º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;AMBOS SEXOS;2º año;Terminan años anteriores;.
2018-2019;Castilla-La Mancha;AMBOS SEXOS;2º año;Matriculado mismo ciclo;70,6
2018-2019;Castilla-La Mancha;AMBOS SEXOS;2º año;Matriculados otro ciclo;6,6
2018-2019;Castilla-La Mancha;AMBOS SEXOS;2º año;Bachillerato;1,2
2018-2019;Castilla-La Mancha;AMBOS SEXOS;2º año;Otras Enseñanzas;1,5
2018-2019;Castilla-La Mancha;AMBOS SEXOS;2º año;Sin Matricula;20,1
2018-2019;Castilla-La Mancha;AMBOS SEXOS;3er año;TOTAL;100,0
2018-2019;Castilla-La Mancha;AMBOS SEXOS;3er año;Terminan años anteriores;38,9
2018-2019;Castilla-La Mancha;AMBOS SEXOS;3er año;Matriculado mismo ciclo;26,9
2018-2019;Castilla-La Mancha;AMBOS SEXOS;3er año;Matriculados otro ciclo;7,2
2018-2019;Castilla-La Mancha;AMBOS SEXOS;3er año;Bachillerato;1,2
2018-2019;Castilla-La Mancha;AMBOS SEXOS;3er año;Otras Enseñanzas;1,9
2018-2019;Castilla-La Mancha;AMBOS SEXOS;3er año;Sin Matricula;24,0
2018-2019;Castilla-La Mancha;AMBOS SEXOS;4º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;AMBOS SEXOS;4º año;Terminan años anteriores;58,2
2018-2019;Castilla-La Mancha;AMBOS SEXOS;4º año;Matriculado mismo ciclo;6,8
2018-2019;Castilla-La Mancha;AMBOS SEXOS;4º año;Matriculados otro ciclo;5,5
2018-2019;Castilla-La Mancha;AMBOS SEXOS;4º año;Bachillerato;1,0
2018-2019;Castilla-La Mancha;AMBOS SEXOS;4º año;Otras Enseñanzas;1,6
2018-2019;Castilla-La Mancha;AMBOS SEXOS;4º año;Sin Matricula;26,8
2018-2019;Castilla-La Mancha;AMBOS SEXOS;5º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;AMBOS SEXOS;5º año;Terminan años anteriores;63,7
2018-2019;Castilla-La Mancha;AMBOS SEXOS;5º año;Matriculado mismo ciclo;2,2
2018-2019;Castilla-La Mancha;AMBOS SEXOS;5º año;Matriculados otro ciclo;3,7
2018-2019;Castilla-La Mancha;AMBOS SEXOS;5º año;Bachillerato;0,7
2018-2019;Castilla-La Mancha;AMBOS SEXOS;5º año;Otras Enseñanzas;1,8
2018-2019;Castilla-La Mancha;AMBOS SEXOS;5º año;Sin Matricula;27,8
2018-2019;Castilla-La Mancha;Hombres;2º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Hombres;2º año;Terminan años anteriores;.
2018-2019;Castilla-La Mancha;Hombres;2º año;Matriculado mismo ciclo;68,0
2018-2019;Castilla-La Mancha;Hombres;2º año;Matriculados otro ciclo;7,5
2018-2019;Castilla-La Mancha;Hombres;2º año;Bachillerato;1,3
2018-2019;Castilla-La Mancha;Hombres;2º año;Otras Enseñanzas;1,6
2018-2019;Castilla-La Mancha;Hombres;2º año;Sin Matricula;21,7
2018-2019;Castilla-La Mancha;Hombres;3er año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Hombres;3er año;Terminan años anteriores;34,6
2018-2019;Castilla-La Mancha;Hombres;3er año;Matriculado mismo ciclo;28,0
2018-2019;Castilla-La Mancha;Hombres;3er año;Matriculados otro ciclo;7,9
2018-2019;Castilla-La Mancha;Hombres;3er año;Bachillerato;1,4
2018-2019;Castilla-La Mancha;Hombres;3er año;Otras Enseñanzas;2,1
2018-2019;Castilla-La Mancha;Hombres;3er año;Sin Matricula;26,0
2018-2019;Castilla-La Mancha;Hombres;4º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Hombres;4º año;Terminan años anteriores;53,7
2018-2019;Castilla-La Mancha;Hombres;4º año;Matriculado mismo ciclo;7,5
2018-2019;Castilla-La Mancha;Hombres;4º año;Matriculados otro ciclo;5,9
2018-2019;Castilla-La Mancha;Hombres;4º año;Bachillerato;1,2
2018-2019;Castilla-La Mancha;Hombres;4º año;Otras Enseñanzas;1,8
2018-2019;Castilla-La Mancha;Hombres;4º año;Sin Matricula;29,9
2018-2019;Castilla-La Mancha;Hombres;5º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Hombres;5º año;Terminan años anteriores;59,8
2018-2019;Castilla-La Mancha;Hombres;5º año;Matriculado mismo ciclo;2,3
2018-2019;Castilla-La Mancha;Hombres;5º año;Matriculados otro ciclo;4,2
2018-2019;Castilla-La Mancha;Hombres;5º año;Bachillerato;0,8
2018-2019;Castilla-La Mancha;Hombres;5º año;Otras Enseñanzas;2,1
2018-2019;Castilla-La Mancha;Hombres;5º año;Sin Matricula;30,9
2018-2019;Castilla-La Mancha;Mujeres;2º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Mujeres;2º año;Terminan años anteriores;.
2018-2019;Castilla-La Mancha;Mujeres;2º año;Matriculado mismo ciclo;74,0
2018-2019;Castilla-La Mancha;Mujeres;2º año;Matriculados otro ciclo;5,5
2018-2019;Castilla-La Mancha;Mujeres;2º año;Bachillerato;1,1
2018-2019;Castilla-La Mancha;Mujeres;2º año;Otras Enseñanzas;1,4
2018-2019;Castilla-La Mancha;Mujeres;2º año;Sin Matricula;18,1
2018-2019;Castilla-La Mancha;Mujeres;3er año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Mujeres;3er año;Terminan años anteriores;44,3
2018-2019;Castilla-La Mancha;Mujeres;3er año;Matriculado mismo ciclo;25,4
2018-2019;Castilla-La Mancha;Mujeres;3er año;Matriculados otro ciclo;6,3
2018-2019;Castilla-La Mancha;Mujeres;3er año;Bachillerato;1,0
2018-2019;Castilla-La Mancha;Mujeres;3er año;Otras Enseñanzas;1,6
2018-2019;Castilla-La Mancha;Mujeres;3er año;Sin Matricula;21,3
2018-2019;Castilla-La Mancha;Mujeres;4º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Mujeres;4º año;Terminan años anteriores;64,1
2018-2019;Castilla-La Mancha;Mujeres;4º año;Matriculado mismo ciclo;6,0
2018-2019;Castilla-La Mancha;Mujeres;4º año;Matriculados otro ciclo;4,9
2018-2019;Castilla-La Mancha;Mujeres;4º año;Bachillerato;0,9
2018-2019;Castilla-La Mancha;Mujeres;4º año;Otras Enseñanzas;1,3
2018-2019;Castilla-La Mancha;Mujeres;4º año;Sin Matricula;22,9
2018-2019;Castilla-La Mancha;Mujeres;5º año;TOTAL;100,0
2018-2019;Castilla-La Mancha;Mujeres;5º año;Terminan años anteriores;68,8
2018-2019;Castilla-La Mancha;Mujeres;5º año;Matriculado mismo ciclo;2,1
2018-2019;Castilla-La Mancha;Mujeres;5º año;Matriculados otro ciclo;3,2
2018-2019;Castilla-La Mancha;Mujeres;5º año;Bachillerato;0,6
2018-2019;Castilla-La Mancha;Mujeres;5º año;Otras Enseñanzas;1,3
2018-2019;Castilla-La Mancha;Mujeres;5º año;Sin Matricula;23,9
2018-2019;Cataluña;AMBOS SEXOS;2º año;TOTAL;100,0
2018-2019;Cataluña;AMBOS SEXOS;2º año;Terminan años anteriores;.
2018-2019;Cataluña;AMBOS SEXOS;2º año;Matriculado mismo ciclo;75,0
2018-2019;Cataluña;AMBOS SEXOS;2º año;Matriculados otro ciclo;6,1
2018-2019;Cataluña;AMBOS SEXOS;2º año;Bachillerato;0,8
2018-2019;Cataluña;AMBOS SEXOS;2º año;Otras Enseñanzas;0,8
2018-2019;Cataluña;AMBOS SEXOS;2º año;Sin Matricula;17,3
2018-2019;Cataluña;AMBOS SEXOS;3er año;TOTAL;100,0
2018-2019;Cataluña;AMBOS SEXOS;3er año;Terminan años anteriores;50,8
2018-2019;Cataluña;AMBOS SEXOS;3er año;Matriculado mismo ciclo;17,3
2018-2019;Cataluña;AMBOS SEXOS;3er año;Matriculados otro ciclo;6,2
2018-2019;Cataluña;AMBOS SEXOS;3er año;Bachillerato;0,6
2018-2019;Cataluña;AMBOS SEXOS;3er año;Otras Enseñanzas;1,6
2018-2019;Cataluña;AMBOS SEXOS;3er año;Sin Matricula;23,4
2018-2019;Cataluña;AMBOS SEXOS;4º año;TOTAL;100,0
2018-2019;Cataluña;AMBOS SEXOS;4º año;Terminan años anteriores;62,0
2018-2019;Cataluña;AMBOS SEXOS;4º año;Matriculado mismo ciclo;5,1
2018-2019;Cataluña;AMBOS SEXOS;4º año;Matriculados otro ciclo;3,9
2018-2019;Cataluña;AMBOS SEXOS;4º año;Bachillerato;0,3
2018-2019;Cataluña;AMBOS SEXOS;4º año;Otras Enseñanzas;1,9
2018-2019;Cataluña;AMBOS SEXOS;4º año;Sin Matricula;26,8
2018-2019;Cataluña;AMBOS SEXOS;5º año;TOTAL;100,0
2018-2019;Cataluña;AMBOS SEXOS;5º año;Terminan años anteriores;65,6
2018-2019;Cataluña;AMBOS SEXOS;5º año;Matriculado mismo ciclo;1,7
2018-2019;Cataluña;AMBOS SEXOS;5º año;Matriculados otro ciclo;2,3
2018-2019;Cataluña;AMBOS SEXOS;5º año;Bachillerato;0,2
2018-2019;Cataluña;AMBOS SEXOS;5º año;Otras Enseñanzas;1,9
2018-2019;Cataluña;AMBOS SEXOS;5º año;Sin Matricula;28,3
2018-2019;Cataluña;Hombres;2º año;TOTAL;100,0
2018-2019;Cataluña;Hombres;2º año;Terminan años anteriores;.
2018-2019;Cataluña;Hombres;2º año;Matriculado mismo ciclo;73,1
2018-2019;Cataluña;Hombres;2º año;Matriculados otro ciclo;6,8
2018-2019;Cataluña;Hombres;2º año;Bachillerato;0,8
2018-2019;Cataluña;Hombres;2º año;Otras Enseñanzas;1,0
2018-2019;Cataluña;Hombres;2º año;Sin Matricula;18,3
2018-2019;Cataluña;Hombres;3er año;TOTAL;100,0
2018-2019;Cataluña;Hombres;3er año;Terminan años anteriores;46,0
2018-2019;Cataluña;Hombres;3er año;Matriculado mismo ciclo;18,8
2018-2019;Cataluña;Hombres;3er año;Matriculados otro ciclo;7,0
2018-2019;Cataluña;Hombres;3er año;Bachillerato;0,6
2018-2019;Cataluña;Hombres;3er año;Otras Enseñanzas;1,7
2018-2019;Cataluña;Hombres;3er año;Sin Matricula;25,8
2018-2019;Cataluña;Hombres;4º año;TOTAL;100,0
2018-2019;Cataluña;Hombres;4º año;Terminan años anteriores;57,2
2018-2019;Cataluña;Hombres;4º año;Matriculado mismo ciclo;6,0
2018-2019;Cataluña;Hombres;4º año;Matriculados otro ciclo;4,4
2018-2019;Cataluña;Hombres;4º año;Bachillerato;0,3
2018-2019;Cataluña;Hombres;4º año;Otras Enseñanzas;2,0
2018-2019;Cataluña;Hombres;4º año;Sin Matricula;30,1
2018-2019;Cataluña;Hombres;5º año;TOTAL;100,0
2018-2019;Cataluña;Hombres;5º año;Terminan años anteriores;61,2
2018-2019;Cataluña;Hombres;5º año;Matriculado mismo ciclo;2,0
2018-2019;Cataluña;Hombres;5º año;Matriculados otro ciclo;2,6
2018-2019;Cataluña;Hombres;5º año;Bachillerato;0,2
2018-2019;Cataluña;Hombres;5º año;Otras Enseñanzas;1,8
2018-2019;Cataluña;Hombres;5º año;Sin Matricula;32,3
2018-2019;Cataluña;Mujeres;2º año;TOTAL;100,0
2018-2019;Cataluña;Mujeres;2º año;Terminan años anteriores;.
2018-2019;Cataluña;Mujeres;2º año;Matriculado mismo ciclo;77,7
2018-2019;Cataluña;Mujeres;2º año;Matriculados otro ciclo;5,0
2018-2019;Cataluña;Mujeres;2º año;Bachillerato;0,7
2018-2019;Cataluña;Mujeres;2º año;Otras Enseñanzas;0,6
2018-2019;Cataluña;Mujeres;2º año;Sin Matricula;15,9
2018-2019;Cataluña;Mujeres;3er año;TOTAL;100,0
2018-2019;Cataluña;Mujeres;3er año;Terminan años anteriores;57,7
2018-2019;Cataluña;Mujeres;3er año;Matriculado mismo ciclo;15,1
2018-2019;Cataluña;Mujeres;3er año;Matriculados otro ciclo;5,0
2018-2019;Cataluña;Mujeres;3er año;Bachillerato;0,7
2018-2019;Cataluña;Mujeres;3er año;Otras Enseñanzas;1,4
2018-2019;Cataluña;Mujeres;3er año;Sin Matricula;20,1
2018-2019;Cataluña;Mujeres;4º año;TOTAL;100,0
2018-2019;Cataluña;Mujeres;4º año;Terminan años anteriores;68,9
2018-2019;Cataluña;Mujeres;4º año;Matriculado mismo ciclo;3,7
2018-2019;Cataluña;Mujeres;4º año;Matriculados otro ciclo;3,0
2018-2019;Cataluña;Mujeres;4º año;Bachillerato;0,4
2018-2019;Cataluña;Mujeres;4º año;Otras Enseñanzas;1,9
2018-2019;Cataluña;Mujeres;4º año;Sin Matricula;22,1
2018-2019;Cataluña;Mujeres;5º año;TOTAL;100,0
2018-2019;Cataluña;Mujeres;5º año;Terminan años anteriores;71,9
2018-2019;Cataluña;Mujeres;5º año;Matriculado mismo ciclo;1,3
