Comunidad autónoma;Curso de ingreso;Años de duración;Sexo;Total
Madrid, Comunidad de;2020-2021;3 años;Mujeres;10,9
Madrid, Comunidad de;2020-2021;4 años;AMBOS SEXOS;..
Madrid, Comunidad de;2020-2021;4 años;Hombres;..
Madrid, Comunidad de;2020-2021;4 años;Mujeres;..
Madrid, Comunidad de;2019-2020;TOTAL;AMBOS SEXOS;64,5
Madrid, Comunidad de;2019-2020;TOTAL;Hombres;61,4
Madrid, Comunidad de;2019-2020;TOTAL;Mujeres;68,6
Madrid, Comunidad de;2019-2020;2 años;AMBOS SEXOS;46,5
Madrid, Comunidad de;2019-2020;2 años;Hombres;41,8
Madrid, Comunidad de;2019-2020;2 años;Mujeres;52,7
Madrid, Comunidad de;2019-2020;3 años;AMBOS SEXOS;14,1
Madrid, Comunidad de;2019-2020;3 años;Hombres;15,1
Madrid, Comunidad de;2019-2020;3 años;Mujeres;12,9
Madrid, Comunidad de;2019-2020;4 años;AMBOS SEXOS;3,9
Madrid, Comunidad de;2019-2020;4 años;Hombres;4,5
Madrid, Comunidad de;2019-2020;4 años;Mujeres;3,0
Madrid, Comunidad de;2018-2019;TOTAL;AMBOS SEXOS;67,1
Madrid, Comunidad de;2018-2019;TOTAL;Hombres;64,0
Madrid, Comunidad de;2018-2019;TOTAL;Mujeres;71,2
Madrid, Comunidad de;2018-2019;2 años;AMBOS SEXOS;46,1
Madrid, Comunidad de;2018-2019;2 años;Hombres;41,1
Madrid, Comunidad de;2018-2019;2 años;Mujeres;52,6
Madrid, Comunidad de;2018-2019;3 años;AMBOS SEXOS;16,6
Madrid, Comunidad de;2018-2019;3 años;Hombres;17,7
Madrid, Comunidad de;2018-2019;3 años;Mujeres;15,3
Madrid, Comunidad de;2018-2019;4 años;AMBOS SEXOS;4,4
Madrid, Comunidad de;2018-2019;4 años;Hombres;5,2
Madrid, Comunidad de;2018-2019;4 años;Mujeres;3,3
Madrid, Comunidad de;2017-2018;TOTAL;AMBOS SEXOS;61,1
Madrid, Comunidad de;2017-2018;TOTAL;Hombres;57,4
Madrid, Comunidad de;2017-2018;TOTAL;Mujeres;66,1
Madrid, Comunidad de;2017-2018;2 años;AMBOS SEXOS;44,3
Madrid, Comunidad de;2017-2018;2 años;Hombres;39,4
Madrid, Comunidad de;2017-2018;2 años;Mujeres;51,0
Madrid, Comunidad de;2017-2018;3 años;AMBOS SEXOS;12,2
Madrid, Comunidad de;2017-2018;3 años;Hombres;13,1
Madrid, Comunidad de;2017-2018;3 años;Mujeres;11,0
Madrid, Comunidad de;2017-2018;4 años;AMBOS SEXOS;4,6
Madrid, Comunidad de;2017-2018;4 años;Hombres;5,0
Madrid, Comunidad de;2017-2018;4 años;Mujeres;4,1
Madrid, Comunidad de;2016-2017 (1);TOTAL;AMBOS SEXOS;57,0
Madrid, Comunidad de;2016-2017 (1);TOTAL;Hombres;53,4
Madrid, Comunidad de;2016-2017 (1);TOTAL;Mujeres;61,8
Madrid, Comunidad de;2016-2017 (1);2 años;AMBOS SEXOS;42,5
Madrid, Comunidad de;2016-2017 (1);2 años;Hombres;37,9
Madrid, Comunidad de;2016-2017 (1);2 años;Mujeres;48,5
Madrid, Comunidad de;2016-2017 (1);3 años;AMBOS SEXOS;11,1
Madrid, Comunidad de;2016-2017 (1);3 años;Hombres;11,8
Madrid, Comunidad de;2016-2017 (1);3 años;Mujeres;10,2
Madrid, Comunidad de;2016-2017 (1);4 años;AMBOS SEXOS;3,4
Madrid, Comunidad de;2016-2017 (1);4 años;Hombres;3,7
Madrid, Comunidad de;2016-2017 (1);4 años;Mujeres;3,1
Murcia (Región de);2021-2022;TOTAL;AMBOS SEXOS;..
Murcia (Región de);2021-2022;TOTAL;Hombres;..
Murcia (Región de);2021-2022;TOTAL;Mujeres;..
Murcia (Región de);2021-2022;2 años;AMBOS SEXOS;53,4
Murcia (Región de);2021-2022;2 años;Hombres;46,5
Murcia (Región de);2021-2022;2 años;Mujeres;62,7
Murcia (Región de);2021-2022;3 años;AMBOS SEXOS;..
Murcia (Región de);2021-2022;3 años;Hombres;..
Murcia (Región de);2021-2022;3 años;Mujeres;..
Murcia (Región de);2021-2022;4 años;AMBOS SEXOS;..
Murcia (Región de);2021-2022;4 años;Hombres;..
Murcia (Región de);2021-2022;4 años;Mujeres;..
Murcia (Región de);2020-2021;TOTAL;AMBOS SEXOS;..
Murcia (Región de);2020-2021;TOTAL;Hombres;..
Murcia (Región de);2020-2021;TOTAL;Mujeres;..
Murcia (Región de);2020-2021;2 años;AMBOS SEXOS;45,1
Murcia (Región de);2020-2021;2 años;Hombres;40,0
Murcia (Región de);2020-2021;2 años;Mujeres;52,5
Murcia (Región de);2020-2021;3 años;AMBOS SEXOS;13,3
Murcia (Región de);2020-2021;3 años;Hombres;13,9
Murcia (Región de);2020-2021;3 años;Mujeres;12,5
Murcia (Región de);2020-2021;4 años;AMBOS SEXOS;..
Murcia (Región de);2020-2021;4 años;Hombres;..
Murcia (Región de);2020-2021;4 años;Mujeres;..
Murcia (Región de);2019-2020;TOTAL;AMBOS SEXOS;63,4
Murcia (Región de);2019-2020;TOTAL;Hombres;58,3
Murcia (Región de);2019-2020;TOTAL;Mujeres;70,1
Murcia (Región de);2019-2020;2 años;AMBOS SEXOS;46,2
Murcia (Región de);2019-2020;2 años;Hombres;40,6
Murcia (Región de);2019-2020;2 años;Mujeres;53,5
Murcia (Región de);2019-2020;3 años;AMBOS SEXOS;12,7
Murcia (Región de);2019-2020;3 años;Hombres;13,2
Murcia (Región de);2019-2020;3 años;Mujeres;12,1
Murcia (Región de);2019-2020;4 años;AMBOS SEXOS;4,6
Murcia (Región de);2019-2020;4 años;Hombres;4,5
Murcia (Región de);2019-2020;4 años;Mujeres;4,6
Murcia (Región de);2018-2019;TOTAL;AMBOS SEXOS;61,7
Murcia (Región de);2018-2019;TOTAL;Hombres;56,9
Murcia (Región de);2018-2019;TOTAL;Mujeres;68,1
Murcia (Región de);2018-2019;2 años;AMBOS SEXOS;39,1
Murcia (Región de);2018-2019;2 años;Hombres;33,3
Murcia (Región de);2018-2019;2 años;Mujeres;46,7
Murcia (Región de);2018-2019;3 años;AMBOS SEXOS;18,2
Murcia (Región de);2018-2019;3 años;Hombres;18,7
Murcia (Región de);2018-2019;3 años;Mujeres;17,5
Murcia (Región de);2018-2019;4 años;AMBOS SEXOS;4,5
Murcia (Región de);2018-2019;4 años;Hombres;4,9
Murcia (Región de);2018-2019;4 años;Mujeres;3,9
Murcia (Región de);2017-2018;TOTAL;AMBOS SEXOS;60,2
Murcia (Región de);2017-2018;TOTAL;Hombres;57,8
Murcia (Región de);2017-2018;TOTAL;Mujeres;63,1
Murcia (Región de);2017-2018;2 años;AMBOS SEXOS;44,0
Murcia (Región de);2017-2018;2 años;Hombres;40,6
Murcia (Región de);2017-2018;2 años;Mujeres;48,1
Murcia (Región de);2017-2018;3 años;AMBOS SEXOS;11,1
Murcia (Región de);2017-2018;3 años;Hombres;11,5
Murcia (Región de);2017-2018;3 años;Mujeres;10,6
Murcia (Región de);2017-2018;4 años;AMBOS SEXOS;5,1
Murcia (Región de);2017-2018;4 años;Hombres;5,7
Murcia (Región de);2017-2018;4 años;Mujeres;4,3
Murcia (Región de);2016-2017 (1);TOTAL;AMBOS SEXOS;..
Murcia (Región de);2016-2017 (1);TOTAL;Hombres;..
Murcia (Región de);2016-2017 (1);TOTAL;Mujeres;..
Murcia (Región de);2016-2017 (1);2 años;AMBOS SEXOS;..
Murcia (Región de);2016-2017 (1);2 años;Hombres;..
Murcia (Región de);2016-2017 (1);2 años;Mujeres;..
Murcia (Región de);2016-2017 (1);3 años;AMBOS SEXOS;..
Murcia (Región de);2016-2017 (1);3 años;Hombres;..
Murcia (Región de);2016-2017 (1);3 años;Mujeres;..
Murcia (Región de);2016-2017 (1);4 años;AMBOS SEXOS;..
Murcia (Región de);2016-2017 (1);4 años;Hombres;..
Murcia (Región de);2016-2017 (1);4 años;Mujeres;..
Navarra, Comunidad Foral de;2021-2022;TOTAL;AMBOS SEXOS;..
Navarra, Comunidad Foral de;2021-2022;TOTAL;Hombres;..
Navarra, Comunidad Foral de;2021-2022;TOTAL;Mujeres;..
Navarra, Comunidad Foral de;2021-2022;2 años;AMBOS SEXOS;54,7
Navarra, Comunidad Foral de;2021-2022;2 años;Hombres;46,6
Navarra, Comunidad Foral de;2021-2022;2 años;Mujeres;68,0
Navarra, Comunidad Foral de;2021-2022;3 años;AMBOS SEXOS;..
Navarra, Comunidad Foral de;2021-2022;3 años;Hombres;..
Navarra, Comunidad Foral de;2021-2022;3 años;Mujeres;..
Navarra, Comunidad Foral de;2021-2022;4 años;AMBOS SEXOS;..
Navarra, Comunidad Foral de;2021-2022;4 años;Hombres;..
Navarra, Comunidad Foral de;2021-2022;4 años;Mujeres;..
Navarra, Comunidad Foral de;2020-2021;TOTAL;AMBOS SEXOS;..
Navarra, Comunidad Foral de;2020-2021;TOTAL;Hombres;..
Navarra, Comunidad Foral de;2020-2021;TOTAL;Mujeres;..
Navarra, Comunidad Foral de;2020-2021;2 años;AMBOS SEXOS;62,7
Navarra, Comunidad Foral de;2020-2021;2 años;Hombres;57,2
Navarra, Comunidad Foral de;2020-2021;2 años;Mujeres;72,1
Navarra, Comunidad Foral de;2020-2021;3 años;AMBOS SEXOS;11,5
Navarra, Comunidad Foral de;2020-2021;3 años;Hombres;13,4
Navarra, Comunidad Foral de;2020-2021;3 años;Mujeres;8,2
Navarra, Comunidad Foral de;2020-2021;4 años;AMBOS SEXOS;..
Navarra, Comunidad Foral de;2020-2021;4 años;Hombres;..
Navarra, Comunidad Foral de;2020-2021;4 años;Mujeres;..
Navarra, Comunidad Foral de;2019-2020;TOTAL;AMBOS SEXOS;78,4
Navarra, Comunidad Foral de;2019-2020;TOTAL;Hombres;74,1
Navarra, Comunidad Foral de;2019-2020;TOTAL;Mujeres;85,1
Navarra, Comunidad Foral de;2019-2020;2 años;AMBOS SEXOS;62,3
Navarra, Comunidad Foral de;2019-2020;2 años;Hombres;55,1
Navarra, Comunidad Foral de;2019-2020;2 años;Mujeres;73,4
Navarra, Comunidad Foral de;2019-2020;3 años;AMBOS SEXOS;12,6
Navarra, Comunidad Foral de;2019-2020;3 años;Hombres;14,7
Navarra, Comunidad Foral de;2019-2020;3 años;Mujeres;9,3
Navarra, Comunidad Foral de;2019-2020;4 años;AMBOS SEXOS;3,5
Navarra, Comunidad Foral de;2019-2020;4 años;Hombres;4,2
Navarra, Comunidad Foral de;2019-2020;4 años;Mujeres;2,4
Navarra, Comunidad Foral de;2018-2019;TOTAL;AMBOS SEXOS;77,4
Navarra, Comunidad Foral de;2018-2019;TOTAL;Hombres;73,8
Navarra, Comunidad Foral de;2018-2019;TOTAL;Mujeres;83,3
Navarra, Comunidad Foral de;2018-2019;2 años;AMBOS SEXOS;55,8
Navarra, Comunidad Foral de;2018-2019;2 años;Hombres;48,4
Navarra, Comunidad Foral de;2018-2019;2 años;Mujeres;67,5
Navarra, Comunidad Foral de;2018-2019;3 años;AMBOS SEXOS;17,9
Navarra, Comunidad Foral de;2018-2019;3 años;Hombres;20,6
Navarra, Comunidad Foral de;2018-2019;3 años;Mujeres;13,7
Navarra, Comunidad Foral de;2018-2019;4 años;AMBOS SEXOS;3,8
Navarra, Comunidad Foral de;2018-2019;4 años;Hombres;4,8
Navarra, Comunidad Foral de;2018-2019;4 años;Mujeres;2,1
Navarra, Comunidad Foral de;2017-2018;TOTAL;AMBOS SEXOS;76,1
Navarra, Comunidad Foral de;2017-2018;TOTAL;Hombres;72,9
Navarra, Comunidad Foral de;2017-2018;TOTAL;Mujeres;81,5
Navarra, Comunidad Foral de;2017-2018;2 años;AMBOS SEXOS;51,5
Navarra, Comunidad Foral de;2017-2018;2 años;Hombres;45,7
Navarra, Comunidad Foral de;2017-2018;2 años;Mujeres;61,3
Navarra, Comunidad Foral de;2017-2018;3 años;AMBOS SEXOS;18,8
Navarra, Comunidad Foral de;2017-2018;3 años;Hombres;19,1
Navarra, Comunidad Foral de;2017-2018;3 años;Mujeres;18,3
Navarra, Comunidad Foral de;2017-2018;4 años;AMBOS SEXOS;5,8
Navarra, Comunidad Foral de;2017-2018;4 años;Hombres;8,1
Navarra, Comunidad Foral de;2017-2018;4 años;Mujeres;1,9
Navarra, Comunidad Foral de;2016-2017 (1);TOTAL;AMBOS SEXOS;74,8
Navarra, Comunidad Foral de;2016-2017 (1);TOTAL;Hombres;71,1
Navarra, Comunidad Foral de;2016-2017 (1);TOTAL;Mujeres;81,0
Navarra, Comunidad Foral de;2016-2017 (1);2 años;AMBOS SEXOS;52,3
Navarra, Comunidad Foral de;2016-2017 (1);2 años;Hombres;46,4
Navarra, Comunidad Foral de;2016-2017 (1);2 años;Mujeres;62,2
Navarra, Comunidad Foral de;2016-2017 (1);3 años;AMBOS SEXOS;16,9
Navarra, Comunidad Foral de;2016-2017 (1);3 años;Hombres;17,4
Navarra, Comunidad Foral de;2016-2017 (1);3 años;Mujeres;16,1
Navarra, Comunidad Foral de;2016-2017 (1);4 años;AMBOS SEXOS;5,6
Navarra, Comunidad Foral de;2016-2017 (1);4 años;Hombres;7,3
Navarra, Comunidad Foral de;2016-2017 (1);4 años;Mujeres;2,7
País Vasco;2021-2022;TOTAL;AMBOS SEXOS;..
País Vasco;2021-2022;TOTAL;Hombres;..
País Vasco;2021-2022;TOTAL;Mujeres;..
País Vasco;2021-2022;2 años;AMBOS SEXOS;53,8
País Vasco;2021-2022;2 años;Hombres;49,7
País Vasco;2021-2022;2 años;Mujeres;61,5
País Vasco;2021-2022;3 años;AMBOS SEXOS;..
País Vasco;2021-2022;3 años;Hombres;..
País Vasco;2021-2022;3 años;Mujeres;..
País Vasco;2021-2022;4 años;AMBOS SEXOS;..
País Vasco;2021-2022;4 años;Hombres;..
País Vasco;2021-2022;4 años;Mujeres;..
País Vasco;2020-2021;TOTAL;AMBOS SEXOS;..
País Vasco;2020-2021;TOTAL;Hombres;..
País Vasco;2020-2021;TOTAL;Mujeres;..
País Vasco;2020-2021;2 años;AMBOS SEXOS;55,0
País Vasco;2020-2021;2 años;Hombres;50,9
País Vasco;2020-2021;2 años;Mujeres;62,9
País Vasco;2020-2021;3 años;AMBOS SEXOS;13,6
País Vasco;2020-2021;3 años;Hombres;14,7
País Vasco;2020-2021;3 años;Mujeres;11,4
País Vasco;2020-2021;4 años;AMBOS SEXOS;..
País Vasco;2020-2021;4 años;Hombres;..
País Vasco;2020-2021;4 años;Mujeres;..
País Vasco;2019-2020;TOTAL;AMBOS SEXOS;76,9
País Vasco;2019-2020;TOTAL;Hombres;75,2
País Vasco;2019-2020;TOTAL;Mujeres;80,2
País Vasco;2019-2020;2 años;AMBOS SEXOS;58,5
País Vasco;2019-2020;2 años;Hombres;53,8
País Vasco;2019-2020;2 años;Mujeres;67,2
País Vasco;2019-2020;3 años;AMBOS SEXOS;14,6
País Vasco;2019-2020;3 años;Hombres;16,8
País Vasco;2019-2020;3 años;Mujeres;10,5
País Vasco;2019-2020;4 años;AMBOS SEXOS;3,9
País Vasco;2019-2020;4 años;Hombres;4,6
País Vasco;2019-2020;4 años;Mujeres;2,5
País Vasco;2018-2019;TOTAL;AMBOS SEXOS;74,5
País Vasco;2018-2019;TOTAL;Hombres;71,7
País Vasco;2018-2019;TOTAL;Mujeres;79,7
País Vasco;2018-2019;2 años;AMBOS SEXOS;53,4
País Vasco;2018-2019;2 años;Hombres;48,6
País Vasco;2018-2019;2 años;Mujeres;62,1
País Vasco;2018-2019;3 años;AMBOS SEXOS;16,0
País Vasco;2018-2019;3 años;Hombres;16,9
País Vasco;2018-2019;3 años;Mujeres;14,5
País Vasco;2018-2019;4 años;AMBOS SEXOS;5,1
País Vasco;2018-2019;4 años;Hombres;6,2
País Vasco;2018-2019;4 años;Mujeres;3,1
País Vasco;2017-2018;TOTAL;AMBOS SEXOS;73,7
País Vasco;2017-2018;TOTAL;Hombres;71,8
País Vasco;2017-2018;TOTAL;Mujeres;77,3
País Vasco;2017-2018;2 años;AMBOS SEXOS;53,9
País Vasco;2017-2018;2 años;Hombres;49,9
País Vasco;2017-2018;2 años;Mujeres;61,3
País Vasco;2017-2018;3 años;AMBOS SEXOS;14,6
País Vasco;2017-2018;3 años;Hombres;15,9
País Vasco;2017-2018;3 años;Mujeres;12,3
País Vasco;2017-2018;4 años;AMBOS SEXOS;5,2
País Vasco;2017-2018;4 años;Hombres;6,0
País Vasco;2017-2018;4 años;Mujeres;3,6
País Vasco;2016-2017 (1);TOTAL;AMBOS SEXOS;71,8
País Vasco;2016-2017 (1);TOTAL;Hombres;69,2
País Vasco;2016-2017 (1);TOTAL;Mujeres;76,4
País Vasco;2016-2017 (1);2 años;AMBOS SEXOS;53,4
País Vasco;2016-2017 (1);2 años;Hombres;48,8
País Vasco;2016-2017 (1);2 años;Mujeres;61,2
País Vasco;2016-2017 (1);3 años;AMBOS SEXOS;14,2
País Vasco;2016-2017 (1);3 años;Hombres;15,5
País Vasco;2016-2017 (1);3 años;Mujeres;11,9
País Vasco;2016-2017 (1);4 años;AMBOS SEXOS;4,3
País Vasco;2016-2017 (1);4 años;Hombres;4,9
País Vasco;2016-2017 (1);4 años;Mujeres;3,3
Rioja, La;2021-2022;TOTAL;AMBOS SEXOS;..
Rioja, La;2021-2022;TOTAL;Hombres;..
Rioja, La;2021-2022;TOTAL;Mujeres;..
Rioja, La;2021-2022;2 años;AMBOS SEXOS;48,3
Rioja, La;2021-2022;2 años;Hombres;42,3
Rioja, La;2021-2022;2 años;Mujeres;56,2
Rioja, La;2021-2022;3 años;AMBOS SEXOS;..
Rioja, La;2021-2022;3 años;Hombres;..
Rioja, La;2021-2022;3 años;Mujeres;..
Rioja, La;2021-2022;4 años;AMBOS SEXOS;..
Rioja, La;2021-2022;4 años;Hombres;..
Rioja, La;2021-2022;4 años;Mujeres;..
Rioja, La;2020-2021;TOTAL;AMBOS SEXOS;..
Rioja, La;2020-2021;TOTAL;Hombres;..
Rioja, La;2020-2021;TOTAL;Mujeres;..
Rioja, La;2020-2021;2 años;AMBOS SEXOS;46,7
Rioja, La;2020-2021;2 años;Hombres;40,3
Rioja, La;2020-2021;2 años;Mujeres;55,1
Rioja, La;2020-2021;3 años;AMBOS SEXOS;14,8
Rioja, La;2020-2021;3 años;Hombres;16,0
Rioja, La;2020-2021;3 años;Mujeres;13,3
Rioja, La;2020-2021;4 años;AMBOS SEXOS;..
Rioja, La;2020-2021;4 años;Hombres;..
Rioja, La;2020-2021;4 años;Mujeres;..
Rioja, La;2019-2020;TOTAL;AMBOS SEXOS;70,9
Rioja, La;2019-2020;TOTAL;Hombres;68,7
Rioja, La;2019-2020;TOTAL;Mujeres;74,0
Rioja, La;2019-2020;2 años;AMBOS SEXOS;51,3
Rioja, La;2019-2020;2 años;Hombres;45,6
Rioja, La;2019-2020;2 años;Mujeres;59,0
Rioja, La;2019-2020;3 años;AMBOS SEXOS;14,6
Rioja, La;2019-2020;3 años;Hombres;16,7
Rioja, La;2019-2020;3 años;Mujeres;11,6
Rioja, La;2019-2020;4 años;AMBOS SEXOS;5,1
Rioja, La;2019-2020;4 años;Hombres;6,4
Rioja, La;2019-2020;4 años;Mujeres;3,3
Rioja, La;2018-2019;TOTAL;AMBOS SEXOS;72,0
Rioja, La;2018-2019;TOTAL;Hombres;69,5
Rioja, La;2018-2019;TOTAL;Mujeres;75,3
Rioja, La;2018-2019;2 años;AMBOS SEXOS;46,6
Rioja, La;2018-2019;2 años;Hombres;42,1
Rioja, La;2018-2019;2 años;Mujeres;52,8
Rioja, La;2018-2019;3 años;AMBOS SEXOS;21,0
Rioja, La;2018-2019;3 años;Hombres;21,7
Rioja, La;2018-2019;3 años;Mujeres;20,0
Rioja, La;2018-2019;4 años;AMBOS SEXOS;4,4
Rioja, La;2018-2019;4 años;Hombres;5,8
Rioja, La;2018-2019;4 años;Mujeres;2,5
Rioja, La;2017-2018;TOTAL;AMBOS SEXOS;65,8
Rioja, La;2017-2018;TOTAL;Hombres;61,3
Rioja, La;2017-2018;TOTAL;Mujeres;71,8
Rioja, La;2017-2018;2 años;AMBOS SEXOS;42,6
Rioja, La;2017-2018;2 años;Hombres;35,5
Rioja, La;2017-2018;2 años;Mujeres;52,2
Rioja, La;2017-2018;3 años;AMBOS SEXOS;16,3
Rioja, La;2017-2018;3 años;Hombres;18,6
Rioja, La;2017-2018;3 años;Mujeres;13,2
Rioja, La;2017-2018;4 años;AMBOS SEXOS;6,9
Rioja, La;2017-2018;4 años;Hombres;7,2
Rioja, La;2017-2018;4 años;Mujeres;6,5
Rioja, La;2016-2017 (1);TOTAL;AMBOS SEXOS;64,5
Rioja, La;2016-2017 (1);TOTAL;Hombres;60,2
Rioja, La;2016-2017 (1);TOTAL;Mujeres;70,1
Rioja, La;2016-2017 (1);2 años;AMBOS SEXOS;40,2
Rioja, La;2016-2017 (1);2 años;Hombres;32,1
Rioja, La;2016-2017 (1);2 años;Mujeres;50,5
Rioja, La;2016-2017 (1);3 años;AMBOS SEXOS;16,6
Rioja, La;2016-2017 (1);3 años;Hombres;17,6
Rioja, La;2016-2017 (1);3 años;Mujeres;15,3
Rioja, La;2016-2017 (1);4 años;AMBOS SEXOS;7,7
Rioja, La;2016-2017 (1);4 años;Hombres;10,4
Rioja, La;2016-2017 (1);4 años;Mujeres;4,3
Ceuta;2021-2022;TOTAL;AMBOS SEXOS;..
Ceuta;2021-2022;TOTAL;Hombres;..
Ceuta;2021-2022;TOTAL;Mujeres;..
Ceuta;2021-2022;2 años;AMBOS SEXOS;34,3
Ceuta;2021-2022;2 años;Hombres;30,4
Ceuta;2021-2022;2 años;Mujeres;38,5
Ceuta;2021-2022;3 años;AMBOS SEXOS;..
Ceuta;2021-2022;3 años;Hombres;..
Ceuta;2021-2022;3 años;Mujeres;..
Ceuta;2021-2022;4 años;AMBOS SEXOS;..
Ceuta;2021-2022;4 años;Hombres;..
Ceuta;2021-2022;4 años;Mujeres;..
Ceuta;2020-2021;TOTAL;AMBOS SEXOS;..
Ceuta;2020-2021;TOTAL;Hombres;..
Ceuta;2020-2021;TOTAL;Mujeres;..
Ceuta;2020-2021;2 años;AMBOS SEXOS;32,7
Ceuta;2020-2021;2 años;Hombres;29,8
Ceuta;2020-2021;2 años;Mujeres;35,4
Ceuta;2020-2021;3 años;AMBOS SEXOS;12,0
Ceuta;2020-2021;3 años;Hombres;9,1
Ceuta;2020-2021;3 años;Mujeres;14,8
Ceuta;2020-2021;4 años;AMBOS SEXOS;..
Ceuta;2020-2021;4 años;Hombres;..
Ceuta;2020-2021;4 años;Mujeres;..
Ceuta;2019-2020;TOTAL;AMBOS SEXOS;41,0
Ceuta;2019-2020;TOTAL;Hombres;36,7
Ceuta;2019-2020;TOTAL;Mujeres;45,5
Ceuta;2019-2020;2 años;AMBOS SEXOS;24,1
Ceuta;2019-2020;2 años;Hombres;17,9
Ceuta;2019-2020;2 años;Mujeres;30,5
Ceuta;2019-2020;3 años;AMBOS SEXOS;12,8
Ceuta;2019-2020;3 años;Hombres;15,0
Ceuta;2019-2020;3 años;Mujeres;10,5
Ceuta;2019-2020;4 años;AMBOS SEXOS;4,2
Ceuta;2019-2020;4 años;Hombres;3,9
Ceuta;2019-2020;4 años;Mujeres;4,5
Ceuta;2018-2019;TOTAL;AMBOS SEXOS;33,3
Ceuta;2018-2019;TOTAL;Hombres;24,4
Ceuta;2018-2019;TOTAL;Mujeres;40,9
Ceuta;2018-2019;2 años;AMBOS SEXOS;19,4
Ceuta;2018-2019;2 años;Hombres;11,4
Ceuta;2018-2019;2 años;Mujeres;26,2
Ceuta;2018-2019;3 años;AMBOS SEXOS;9,3
Ceuta;2018-2019;3 años;Hombres;5,2
Ceuta;2018-2019;3 años;Mujeres;12,9
Ceuta;2018-2019;4 años;AMBOS SEXOS;4,5
Ceuta;2018-2019;4 años;Hombres;7,8
Ceuta;2018-2019;4 años;Mujeres;1,8
Ceuta;2017-2018;TOTAL;AMBOS SEXOS;34,2
Ceuta;2017-2018;TOTAL;Hombres;25,9
Ceuta;2017-2018;TOTAL;Mujeres;40,7
Ceuta;2017-2018;2 años;AMBOS SEXOS;24,8
Ceuta;2017-2018;2 años;Hombres;19,0
Ceuta;2017-2018;2 años;Mujeres;29,4
Ceuta;2017-2018;3 años;AMBOS SEXOS;6,6
Ceuta;2017-2018;3 años;Hombres;3,4
Ceuta;2017-2018;3 años;Mujeres;9,0
Ceuta;2017-2018;4 años;AMBOS SEXOS;2,8
Ceuta;2017-2018;4 años;Hombres;3,4
Ceuta;2017-2018;4 años;Mujeres;2,3
Ceuta;2016-2017 (1);TOTAL;AMBOS SEXOS;32,3
Ceuta;2016-2017 (1);TOTAL;Hombres;29,3
Ceuta;2016-2017 (1);TOTAL;Mujeres;35,8
Ceuta;2016-2017 (1);2 años;AMBOS SEXOS;26,0
Ceuta;2016-2017 (1);2 años;Hombres;22,5
Ceuta;2016-2017 (1);2 años;Mujeres;30,1
Ceuta;2016-2017 (1);3 años;AMBOS SEXOS;4,8
Ceuta;2016-2017 (1);3 años;Hombres;5,0
Ceuta;2016-2017 (1);3 años;Mujeres;4,7
Ceuta;2016-2017 (1);4 años;AMBOS SEXOS;1,4
Ceuta;2016-2017 (1);4 años;Hombres;1,8
Ceuta;2016-2017 (1);4 años;Mujeres;1,0
Melilla;2021-2022;TOTAL;AMBOS SEXOS;..
Melilla;2021-2022;TOTAL;Hombres;..
Melilla;2021-2022;TOTAL;Mujeres;..
Melilla;2021-2022;2 años;AMBOS SEXOS;44,2
Melilla;2021-2022;2 años;Hombres;42,6
Melilla;2021-2022;2 años;Mujeres;45,9
Melilla;2021-2022;3 años;AMBOS SEXOS;..
Melilla;2021-2022;3 años;Hombres;..
Melilla;2021-2022;3 años;Mujeres;..
Melilla;2021-2022;4 años;AMBOS SEXOS;..
Melilla;2021-2022;4 años;Hombres;..
Melilla;2021-2022;4 años;Mujeres;..
Melilla;2020-2021;TOTAL;AMBOS SEXOS;..
Melilla;2020-2021;TOTAL;Hombres;..
Melilla;2020-2021;TOTAL;Mujeres;..
Melilla;2020-2021;2 años;AMBOS SEXOS;46,6
Melilla;2020-2021;2 años;Hombres;47,3
Melilla;2020-2021;2 años;Mujeres;45,7
Melilla;2020-2021;3 años;AMBOS SEXOS;7,2
Melilla;2020-2021;3 años;Hombres;4,0
Melilla;2020-2021;3 años;Mujeres;10,9
Melilla;2020-2021;4 años;AMBOS SEXOS;..
Melilla;2020-2021;4 años;Hombres;..
Melilla;2020-2021;4 años;Mujeres;..
Melilla;2019-2020;TOTAL;AMBOS SEXOS;60,0
Melilla;2019-2020;TOTAL;Hombres;52,3
Melilla;2019-2020;TOTAL;Mujeres;70,3
Melilla;2019-2020;2 años;AMBOS SEXOS;41,3
Melilla;2019-2020;2 años;Hombres;35,5
Melilla;2019-2020;2 años;Mujeres;49,2
Melilla;2019-2020;3 años;AMBOS SEXOS;16,3
Melilla;2019-2020;3 años;Hombres;15,1
Melilla;2019-2020;3 años;Mujeres;18,0
Melilla;2019-2020;4 años;AMBOS SEXOS;2,3
Melilla;2019-2020;4 años;Hombres;1,7
Melilla;2019-2020;4 años;Mujeres;3,1
Melilla;2018-2019;TOTAL;AMBOS SEXOS;56,7
Melilla;2018-2019;TOTAL;Hombres;55,1
Melilla;2018-2019;TOTAL;Mujeres;58,9
Melilla;2018-2019;2 años;AMBOS SEXOS;42,6
Melilla;2018-2019;2 años;Hombres;44,3
Melilla;2018-2019;2 años;Mujeres;40,3
Melilla;2018-2019;3 años;AMBOS SEXOS;10,6
Melilla;2018-2019;3 años;Hombres;7,6
Melilla;2018-2019;3 años;Mujeres;14,5
Melilla;2018-2019;4 años;AMBOS SEXOS;3,5
