Comunidad autónoma;Curso de ingreso;Años de duración;Sexo;Total
Asturias, Principado de;2021-2022;TOTAL;Mujeres;..
Asturias, Principado de;2021-2022;2 años;AMBOS SEXOS;47,1
Asturias, Principado de;2021-2022;2 años;Hombres;38,8
Asturias, Principado de;2021-2022;2 años;Mujeres;57,5
Asturias, Principado de;2021-2022;3 años;AMBOS SEXOS;..
Asturias, Principado de;2021-2022;3 años;Hombres;..
Asturias, Principado de;2021-2022;3 años;Mujeres;..
Asturias, Principado de;2021-2022;4 años;AMBOS SEXOS;..
Asturias, Principado de;2021-2022;4 años;Hombres;..
Asturias, Principado de;2021-2022;4 años;Mujeres;..
Asturias, Principado de;2020-2021;TOTAL;AMBOS SEXOS;..
Asturias, Principado de;2020-2021;TOTAL;Hombres;..
Asturias, Principado de;2020-2021;TOTAL;Mujeres;..
Asturias, Principado de;2020-2021;2 años;AMBOS SEXOS;48,1
Asturias, Principado de;2020-2021;2 años;Hombres;39,0
Asturias, Principado de;2020-2021;2 años;Mujeres;58,6
Asturias, Principado de;2020-2021;3 años;AMBOS SEXOS;11,2
Asturias, Principado de;2020-2021;3 años;Hombres;12,6
Asturias, Principado de;2020-2021;3 años;Mujeres;9,5
Asturias, Principado de;2020-2021;4 años;AMBOS SEXOS;..
Asturias, Principado de;2020-2021;4 años;Hombres;..
Asturias, Principado de;2020-2021;4 años;Mujeres;..
Asturias, Principado de;2019-2020;TOTAL;AMBOS SEXOS;65,8
Asturias, Principado de;2019-2020;TOTAL;Hombres;59,4
Asturias, Principado de;2019-2020;TOTAL;Mujeres;73,9
Asturias, Principado de;2019-2020;2 años;AMBOS SEXOS;50,1
Asturias, Principado de;2019-2020;2 años;Hombres;40,2
Asturias, Principado de;2019-2020;2 años;Mujeres;62,7
Asturias, Principado de;2019-2020;3 años;AMBOS SEXOS;12,0
Asturias, Principado de;2019-2020;3 años;Hombres;14,8
Asturias, Principado de;2019-2020;3 años;Mujeres;8,4
Asturias, Principado de;2019-2020;4 años;AMBOS SEXOS;3,7
Asturias, Principado de;2019-2020;4 años;Hombres;4,4
Asturias, Principado de;2019-2020;4 años;Mujeres;2,8
Asturias, Principado de;2018-2019;TOTAL;AMBOS SEXOS;64,9
Asturias, Principado de;2018-2019;TOTAL;Hombres;58,8
Asturias, Principado de;2018-2019;TOTAL;Mujeres;72,6
Asturias, Principado de;2018-2019;2 años;AMBOS SEXOS;44,7
Asturias, Principado de;2018-2019;2 años;Hombres;36,1
Asturias, Principado de;2018-2019;2 años;Mujeres;55,7
Asturias, Principado de;2018-2019;3 años;AMBOS SEXOS;16,1
Asturias, Principado de;2018-2019;3 años;Hombres;17,5
Asturias, Principado de;2018-2019;3 años;Mujeres;14,2
Asturias, Principado de;2018-2019;4 años;AMBOS SEXOS;4,1
Asturias, Principado de;2018-2019;4 años;Hombres;5,1
Asturias, Principado de;2018-2019;4 años;Mujeres;2,8
Asturias, Principado de;2017-2018;TOTAL;AMBOS SEXOS;63,3
Asturias, Principado de;2017-2018;TOTAL;Hombres;57,4
Asturias, Principado de;2017-2018;TOTAL;Mujeres;70,9
Asturias, Principado de;2017-2018;2 años;AMBOS SEXOS;46,9
Asturias, Principado de;2017-2018;2 años;Hombres;37,6
Asturias, Principado de;2017-2018;2 años;Mujeres;59,2
Asturias, Principado de;2017-2018;3 años;AMBOS SEXOS;11,2
Asturias, Principado de;2017-2018;3 años;Hombres;13,9
Asturias, Principado de;2017-2018;3 años;Mujeres;7,7
Asturias, Principado de;2017-2018;4 años;AMBOS SEXOS;5,1
Asturias, Principado de;2017-2018;4 años;Hombres;5,9
Asturias, Principado de;2017-2018;4 años;Mujeres;4,0
Asturias, Principado de;2016-2017 (1);TOTAL;AMBOS SEXOS;61,3
Asturias, Principado de;2016-2017 (1);TOTAL;Hombres;54,0
Asturias, Principado de;2016-2017 (1);TOTAL;Mujeres;70,6
Asturias, Principado de;2016-2017 (1);2 años;AMBOS SEXOS;45,8
Asturias, Principado de;2016-2017 (1);2 años;Hombres;37,6
Asturias, Principado de;2016-2017 (1);2 años;Mujeres;56,4
Asturias, Principado de;2016-2017 (1);3 años;AMBOS SEXOS;11,8
Asturias, Principado de;2016-2017 (1);3 años;Hombres;12,0
Asturias, Principado de;2016-2017 (1);3 años;Mujeres;11,5
Asturias, Principado de;2016-2017 (1);4 años;AMBOS SEXOS;3,7
Asturias, Principado de;2016-2017 (1);4 años;Hombres;4,5
Asturias, Principado de;2016-2017 (1);4 años;Mujeres;2,7
Balears, Illes;2021-2022;TOTAL;AMBOS SEXOS;..
Balears, Illes;2021-2022;TOTAL;Hombres;..
Balears, Illes;2021-2022;TOTAL;Mujeres;..
Balears, Illes;2021-2022;2 años;AMBOS SEXOS;48,4
Balears, Illes;2021-2022;2 años;Hombres;43,2
Balears, Illes;2021-2022;2 años;Mujeres;55,6
Balears, Illes;2021-2022;3 años;AMBOS SEXOS;..
Balears, Illes;2021-2022;3 años;Hombres;..
Balears, Illes;2021-2022;3 años;Mujeres;..
Balears, Illes;2021-2022;4 años;AMBOS SEXOS;..
Balears, Illes;2021-2022;4 años;Hombres;..
Balears, Illes;2021-2022;4 años;Mujeres;..
Balears, Illes;2020-2021;TOTAL;AMBOS SEXOS;..
Balears, Illes;2020-2021;TOTAL;Hombres;..
Balears, Illes;2020-2021;TOTAL;Mujeres;..
Balears, Illes;2020-2021;2 años;AMBOS SEXOS;48,1
Balears, Illes;2020-2021;2 años;Hombres;42,9
Balears, Illes;2020-2021;2 años;Mujeres;54,7
Balears, Illes;2020-2021;3 años;AMBOS SEXOS;11,4
Balears, Illes;2020-2021;3 años;Hombres;11,7
Balears, Illes;2020-2021;3 años;Mujeres;10,9
Balears, Illes;2020-2021;4 años;AMBOS SEXOS;..
Balears, Illes;2020-2021;4 años;Hombres;..
Balears, Illes;2020-2021;4 años;Mujeres;..
Balears, Illes;2019-2020;TOTAL;AMBOS SEXOS;71,9
Balears, Illes;2019-2020;TOTAL;Hombres;67,2
Balears, Illes;2019-2020;TOTAL;Mujeres;78,5
Balears, Illes;2019-2020;2 años;AMBOS SEXOS;55,5
Balears, Illes;2019-2020;2 años;Hombres;51,2
Balears, Illes;2019-2020;2 años;Mujeres;61,5
Balears, Illes;2019-2020;3 años;AMBOS SEXOS;12,4
Balears, Illes;2019-2020;3 años;Hombres;11,6
Balears, Illes;2019-2020;3 años;Mujeres;13,5
Balears, Illes;2019-2020;4 años;AMBOS SEXOS;4,1
Balears, Illes;2019-2020;4 años;Hombres;4,4
Balears, Illes;2019-2020;4 años;Mujeres;3,6
Balears, Illes;2018-2019;TOTAL;AMBOS SEXOS;67,3
Balears, Illes;2018-2019;TOTAL;Hombres;63,7
Balears, Illes;2018-2019;TOTAL;Mujeres;72,3
Balears, Illes;2018-2019;2 años;AMBOS SEXOS;44,4
Balears, Illes;2018-2019;2 años;Hombres;40,3
Balears, Illes;2018-2019;2 años;Mujeres;49,9
Balears, Illes;2018-2019;3 años;AMBOS SEXOS;19,2
Balears, Illes;2018-2019;3 años;Hombres;19,1
Balears, Illes;2018-2019;3 años;Mujeres;19,4
Balears, Illes;2018-2019;4 años;AMBOS SEXOS;3,8
Balears, Illes;2018-2019;4 años;Hombres;4,3
Balears, Illes;2018-2019;4 años;Mujeres;3,1
Balears, Illes;2017-2018;TOTAL;AMBOS SEXOS;64,6
Balears, Illes;2017-2018;TOTAL;Hombres;62,1
Balears, Illes;2017-2018;TOTAL;Mujeres;68,3
Balears, Illes;2017-2018;2 años;AMBOS SEXOS;46,4
Balears, Illes;2017-2018;2 años;Hombres;43,0
Balears, Illes;2017-2018;2 años;Mujeres;51,4
Balears, Illes;2017-2018;3 años;AMBOS SEXOS;12,1
Balears, Illes;2017-2018;3 años;Hombres;12,2
Balears, Illes;2017-2018;3 años;Mujeres;11,8
Balears, Illes;2017-2018;4 años;AMBOS SEXOS;6,1
Balears, Illes;2017-2018;4 años;Hombres;6,8
Balears, Illes;2017-2018;4 años;Mujeres;5,1
Balears, Illes;2016-2017 (1);TOTAL;AMBOS SEXOS;64,3
Balears, Illes;2016-2017 (1);TOTAL;Hombres;59,7
Balears, Illes;2016-2017 (1);TOTAL;Mujeres;70,4
Balears, Illes;2016-2017 (1);2 años;AMBOS SEXOS;45,2
Balears, Illes;2016-2017 (1);2 años;Hombres;40,7
Balears, Illes;2016-2017 (1);2 años;Mujeres;51,1
Balears, Illes;2016-2017 (1);3 años;AMBOS SEXOS;14,6
Balears, Illes;2016-2017 (1);3 años;Hombres;14,5
Balears, Illes;2016-2017 (1);3 años;Mujeres;14,6
Balears, Illes;2016-2017 (1);4 años;AMBOS SEXOS;4,6
Balears, Illes;2016-2017 (1);4 años;Hombres;4,4
Balears, Illes;2016-2017 (1);4 años;Mujeres;4,7
Canarias;2021-2022;TOTAL;AMBOS SEXOS;..
Canarias;2021-2022;TOTAL;Hombres;..
Canarias;2021-2022;TOTAL;Mujeres;..
Canarias;2021-2022;2 años;AMBOS SEXOS;45,3
Canarias;2021-2022;2 años;Hombres;41,0
Canarias;2021-2022;2 años;Mujeres;51,6
Canarias;2021-2022;3 años;AMBOS SEXOS;..
Canarias;2021-2022;3 años;Hombres;..
Canarias;2021-2022;3 años;Mujeres;..
Canarias;2021-2022;4 años;AMBOS SEXOS;..
Canarias;2021-2022;4 años;Hombres;..
Canarias;2021-2022;4 años;Mujeres;..
Canarias;2020-2021;TOTAL;AMBOS SEXOS;..
Canarias;2020-2021;TOTAL;Hombres;..
Canarias;2020-2021;TOTAL;Mujeres;..
Canarias;2020-2021;2 años;AMBOS SEXOS;46,4
Canarias;2020-2021;2 años;Hombres;41,0
Canarias;2020-2021;2 años;Mujeres;54,5
Canarias;2020-2021;3 años;AMBOS SEXOS;7,8
Canarias;2020-2021;3 años;Hombres;8,9
Canarias;2020-2021;3 años;Mujeres;6,2
Canarias;2020-2021;4 años;AMBOS SEXOS;..
Canarias;2020-2021;4 años;Hombres;..
Canarias;2020-2021;4 años;Mujeres;..
Canarias;2019-2020;TOTAL;AMBOS SEXOS;60,6
Canarias;2019-2020;TOTAL;Hombres;54,7
Canarias;2019-2020;TOTAL;Mujeres;69,2
Canarias;2019-2020;2 años;AMBOS SEXOS;49,2
Canarias;2019-2020;2 años;Hombres;42,4
Canarias;2019-2020;2 años;Mujeres;59,2
Canarias;2019-2020;3 años;AMBOS SEXOS;8,4
Canarias;2019-2020;3 años;Hombres;9,0
Canarias;2019-2020;3 años;Mujeres;7,5
Canarias;2019-2020;4 años;AMBOS SEXOS;3,0
Canarias;2019-2020;4 años;Hombres;3,3
Canarias;2019-2020;4 años;Mujeres;2,6
Canarias;2018-2019;TOTAL;AMBOS SEXOS;58,4
Canarias;2018-2019;TOTAL;Hombres;54,7
Canarias;2018-2019;TOTAL;Mujeres;63,6
Canarias;2018-2019;2 años;AMBOS SEXOS;41,6
Canarias;2018-2019;2 años;Hombres;36,6
Canarias;2018-2019;2 años;Mujeres;48,7
Canarias;2018-2019;3 años;AMBOS SEXOS;13,3
Canarias;2018-2019;3 años;Hombres;14,4
Canarias;2018-2019;3 años;Mujeres;11,8
Canarias;2018-2019;4 años;AMBOS SEXOS;3,5
Canarias;2018-2019;4 años;Hombres;3,8
Canarias;2018-2019;4 años;Mujeres;3,1
